date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-02-26,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-01,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-02,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-03,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-04,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-05,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-08,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-09,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-10,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-11,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-12,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-15,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-16,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-17,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-18,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-19,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-22,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-23,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-24,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-25,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-26,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-29,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
2010-03-30,sh.600372,8.3400,8.34,8.34,8.34,0,0.0000,3,,0,0.000000,-16.005839,5.743531,3.498939,-13.311196,1,8.34,8.340000000000002,8.340000000000002,1,-1,-1,-1,-1,0.0,0.0,0.0,1,0.0,0.0,0.0
